"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23751","","5323","","29074",""
"2","Total Active Cases","86 
(0.36%)","","05 
(0.1%)","","91 
(0.31%)",""
"3","Total Cured/Discharged","23497 
(98.9%)","","5258 
(98.8%)","","28755 
(98.9%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","14","","00","","14",""
"6","Total Positive cases in Home Isolation","66","","05","","71",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","06","","00","","06",""
"9","No. of Samples Tested (Today)","116","","63","","179",""
"10","No. of Samples Positive (Today)","11","","01","","12",""
"11","No. of Samples Negative (Today)","105","","62","","167",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","55 
35 
04 
00 
94"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(12/08/2022)","","Test Done Today 
(13/08/2022)","","Cumulative"
"","","a)RTPCR","34439","","100","","34539"
"","","b)TRUENAT","14781","","04","","14785"
"","","c)RAT","357808","","71","","357879"
"","","d)  CBNAAT","1192","","04","","1196"
"","","TOTAL","708220","","179","","708399"
