"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","89","109866","70","107559","1","2280","27"
"2","SAS Nagar","108","95799","64","94597","0","1148","54"
"3","Jalandhar","67","78342","49","76749","0","1578","15"
"4","Patiala","45","62081","31","60603","0","1458","20"
"5","Amritsar","23","59418","19","57727","0","1682","9"
"6","Bathinda","19","50889","14","49792","0","1088","9"
"7","Hoshiarpur","46","40884","46","39778","0","1096","10"
"8","Gurdaspur","10","26949","10","26083","1","865","1"
"9","Pathankot","25","24561","23","24056","0","495","10"
"10","Fazilka","10","23408","17","22856","0","545","7"
"11","Muktsar","6","22560","9","22019","0","539","2"
"12","Kapurthala","21","22054","14","21466","1","580","8"
"13","Ropar","7","17945","3","17486","0","455","4"
"14","Ferozepur","7","17906","8","17368","0","537","1"
"15","Mansa","3","17231","1","16837","0","392","2"
"16","Faridkot","15","16801","16","16457","0","338","6"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","14","13416","15","13003","0","409","4"
"19","FG Sahib","7","11841","5","11485","0","354","2"
"20","Moga","1","10989","3","10734","1","255","0"
"21","Tarn Taran","1","10900","1","10506","0","394","0"
"22","Barnala","2","7500","8","7151","0","349","0"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","526","759615","426","741676","4","17748","191"
