"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","288208","19277069"
"2","Total No. of patients tested Positive","526","759615"
"3","No. of patients discharged","426","741676"
"4","Total Deaths reported","4","17748"
"5","Sample collected on the day","","11716"
"6","Test conducted on the day","","11582"
"7","Positive cases on the day","","21"
"8","Number of active Cases","","191"
"9","No. of Patients on oxygen support","","4"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218548"
"14","Frontline Workers vaccinated with 1st dose on the day","","5"
"15","Total Frontline Workers vaccinated with 1st dose","","1117025"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","6"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209456"
"18","Frontline Workers vaccinated with 2nd dose on the day","","47"
"19","Total Frontline Workers vaccinated with 2nd dose","","1009884"
"20","Above 45 Vaccinated with 1st dose on the day","","102"
"21","Total Above 45 Vaccinated with 1st dose","","8279825"
"22","Above 45 Vaccinated with 2nd dose on the day","","1827"
"23","Total Above 45 Vaccinated with 2nd dose","","6978020"
"24","18-44 years age group Vaccinated with 1st dose on the day","","381"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12463025"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","4204"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9289209"
"28","15-17 years age group Vaccinated with 1st dose on the day","","636"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1030340"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","894"
"31","Total 15-17 years age group Vaccinated with 2nddose","","598393"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1966"
"33","Total 12-14 years age group Vaccinated with 1st dose","","446971"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1166"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","99926"
"36","Precautionary dose given on the day","","1165"
"37","Total Precautionary dose given","","544047"
"38","Total Vaccination 1st dose on the day","","488"
"39","Total Vaccination 2nd dose on the day","","6084"
"40","Total Vaccination 1st and 2nd dose on the day","","6572"
