"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","697475","270","41121","1","412","195","38508","2201"
"2","ALWAR","1380098","568","67784","1","311","411","61304","6169"
"3","BANSWARA","271365","9","10684","0","104","48","10059","521"
"4","BARAN","191569","101","12564","0","62","26","11973","529"
"5","BARMER","364458","239","18330","0","188","234","15801","2341"
"6","BHARATPUR","422114","536","23721","0","260","363","20339","3122"
"7","BHILWARA","445607","90","32082","0","156","95","30171","1755"
"8","BIKANER","649800","358","44949","1","548","307","41258","3143"
"9","BUNDI","198856","53","8282","0","48","6","7959","275"
"10","CHITTORGARH","404667","380","22346","0","139","306","20661","1546"
"11","CHURU","368777","252","17730","0","108","46","16759","863"
"12","DAUSA","240756","85","14299","1","64","38","13486","749"
"13","DHOLPUR","246632","115","11686","0","48","11","11029","609"
"14","DUNGARPUR","291158","47","19450","0","131","108","18567","752"
"15","GANGANAGAR","368859","84","20477","0","151","56","19403","923"
"16","HANUMANGARH","439243","426","17973","0","111","21","16100","1762"
"17","JAIPUR","2855129","2358","221165","2","1990","2746","199489","19686"
"18","JAISALMER","223739","117","14686","0","66","75","13778","842"
"19","JALORE","409445","25","10119","0","73","0","9997","49"
"20","JHALAWAR","328773","94","14451","0","190","64","13758","503"
"21","JHUNJHUNU","426680","38","15404","0","161","20","14748","495"
"22","JODHPUR","1253701","801","121714","2","1108","591","115755","4851"
"23","KARAULI","202227","17","7304","1","72","0","7093","139"
