"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","691485","407","40269","0","411","191","38055","1803"
"2","ALWAR","1368674","1059","65220","0","309","167","60154","4757"
"3","BANSWARA","268738","88","10493","0","104","1","9941","448"
"4","BARAN","189339","49","12285","0","61","2","11945","279"
"5","BARMER","359702","268","17303","1","188","16","15450","1665"
"6","BHARATPUR","417448","506","22482","0","260","145","19699","2523"
"7","BHILWARA","441823","240","31345","0","156","96","29855","1334"
"8","BIKANER","642911","428","43831","1","547","232","40541","2743"
"9","BUNDI","196902","20","8152","0","48","10","7929","175"
"10","CHITTORGARH","399832","276","21429","0","139","139","20097","1193"
"11","CHURU","364362","74","17269","0","108","39","16668","493"
"12","DAUSA","238200","81","14020","0","63","17","13325","632"
"13","DHOLPUR","244345","113","11339","0","48","7","10978","313"
"14","DUNGARPUR","287033","194","19081","0","131","40","18380","570"
"15","GANGANAGAR","363349","105","19942","0","151","16","19316","475"
"16","HANUMANGARH","434591","268","17200","0","111","15","16006","1083"
"17","JAIPUR","2820256","1973","214609","1","1983","1527","192503","20123"
"18","JAISALMER","221502","130","14325","0","66","16","13603","656"
"19","JALORE","407407","0","10070","0","72","0","9996","2"
"20","JHALAWAR","326081","110","14179","2","189","62","13578","412"
"21","JHUNJHUNU","422465","153","15256","0","161","0","14685","410"
"22","JODHPUR","1243338","861","119303","0","1106","597","113853","4344"
"23","KARAULI","199779","20","7189","0","71","0","7093","25"
