"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","715963","297","44759","1","419","270","40711","3629"
"2","ALWAR","1413333","1030","75635","1","314","568","67476","7845"
"3","BANSWARA","277850","219","11806","0","104","69","10571","1131"
"4","BARAN","198057","144","13409","0","62","101","12502","845"
"5","BARMER","375330","106","20097","0","192","239","17872","2033"
"6","BHARATPUR","434511","501","27880","0","263","537","23455","4162"
"7","BHILWARA","457521","151","34405","0","156","362","31836","2413"
"8","BIKANER","663486","198","47079","3","561","389","44452","2066"
"9","BUNDI","205180","86","8762","1","50","43","8257","455"
"10","CHITTORGARH","417961","332","25991","0","139","577","23351","2501"
"11","CHURU","379258","163","18885","0","109","264","17634","1142"
"12","DAUSA","248164","52","15020","1","69","84","14149","802"
"13","DHOLPUR","253074","113","12408","0","49","111","11521","838"
"14","DUNGARPUR","302100","258","21975","0","131","280","19655","2189"
"15","GANGANAGAR","379725","550","22538","1","153","159","20241","2144"
"16","HANUMANGARH","449769","429","20213","1","112","426","17863","2238"
"17","JAIPUR","2937931","2140","243647","8","2015","2036","216800","24832"
"18","JAISALMER","228225","84","15396","0","67","68","14664","665"
"19","JALORE","416245","6","10327","0","74","19","10020","233"
"20","JHALAWAR","335561","87","15645","1","196","176","14586","863"
"21","JHUNJHUNU","438605","76","16520","0","164","124","15244","1112"
"22","JODHPUR","1279451","741","129682","2","1125","1240","121843","6714"
"23","KARAULI","208750","3","8006","0","73","106","7338","595"
