"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1317","23","0","9","186"
"2","ALWAR","1491","36","1","116","278"
"3","BANSWARA","284","1","0","2","38"
"4","BARAN","296","1","0","0","2"
"5","BARMER","77","0","0","1","1"
"6","BHARATPUR","865","51","0","128","351"
"7","BHILWARA","757","13","0","28","82"
"8","BIKANER","990","10","0","9","46"
"9","BUNDI","163","8","0","5","47"
"10","CHITTORGARH","745","14","0","25","156"
"11","CHURU","360","0","0","7","4"
"12","DAUSA","861","33","0","25","144"
"13","DHOLPUR","112","16","0","7","20"
"14","DUNGARPUR","329","3","0","1","34"
"15","GANGANAGAR","293","1","0","1","5"
"16","HANUMANGARH","281","7","0","1","28"
"17","JAIPUR","3057","109","1","96","1483"
"18","JAISALMER","171","3","0","1","30"
"19","JALORE","356","3","0","2","16"
"20","JHALAWAR","409","3","0","6","23"
"21","JHUNJHUNU","944","1","1","1","6"
"22","JODHPUR","798","35","0","0","196"
"23","KARAULI","247","1","1","0","0"
"24","KOTA","1011","5","0","15","48"
"25","NAGAUR","611","17","0","19","88"
"26","PALI","952","2","0","3","37"
