"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1124","7","0","29","184"
"2","ALWAR","1636","142","0","35","641"
"3","BANSWARA","147","7","0","15","28"
"4","BARAN","304","0","0","0","8"
"5","BARMER","44","1","0","4","7"
"6","BHARATPUR","1043","62","0","0","203"
"7","BHILWARA","910","0","0","14","52"
"8","BIKANER","867","1","0","16","42"
"9","BUNDI","340","11","0","0","17"
"10","CHITTORGARH","674","39","0","8","190"
"11","CHURU","86","2","0","5","5"
"12","DAUSA","642","23","0","24","171"
"13","DHOLPUR","161","3","0","0","36"
"14","DUNGARPUR","199","7","0","0","74"
"15","GANGANAGAR","113","0","0","0","7"
"16","HANUMANGARH","326","0","0","0","8"
"17","JAIPUR","3033","214","0","286","1398"
"18","JAISALMER","307","2","0","6","28"
"19","JALORE","141","0","0","11","20"
"20","JHALAWAR","557","3","0","8","36"
"21","JHUNJHUNU","1198","0","0","0","1"
"22","JODHPUR","556","20","0","0","242"
"23","KARAULI","310","0","0","0","0"
"24","KOTA","762","17","0","14","89"
"25","NAGAUR","730","7","0","12","108"
"26","PALI","1529","1","0","0","20"
