"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","229204","223281","5894","29"
"12","Nashik","478543","469473","8918","152"
"13","Ahmednagar","380722","373415","7251","56"
"14","Jalgaon","150208","147438","2762","8"
"15","Nandurbar","46972","46006","963","3"
"16","Dhule","51449","50774","670","5"
"17","Aurangabad","178679","174363","4288","28"
"18","Jalna","67521","66265","1226","30"
"19","Beed","109714","106821","2889","4"
"20","Latur","106442","103891","2489","62"
"21","Parbhani","58798","57514","1281","3"
"22","Hingoli","22451","21926","517","8"
"23","Nanded","103305","100591","2705","9"
"24","Osmanabad","76768","74566","2139","63"
"25","Amravati","107015","105372","1626","17"
"26","Akola","66979","65477","1476","26"
"27","Washim","47398","46710","641","47"
"28","Buldhana","93165","92316","839","10"
"29","Yavatmal","82638","80810","1820","8"
"30","Nagpur","585777","576411","9224","142"
"31","Wardha","66348","64934","1410","4"
"32","Bhandara","69875","68715","1142","18"
"33","Gondia","45991","45390","588","13"
"34","Chandrapur","100079","98446","1597","36"
