"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227075","221194","5878","3"
"12","Nashik","472913","463983","8911","19"
"13","Ahmednagar","377745","370490","7242","13"
"14","Jalgaon","149536","146774","2761","1"
"15","Nandurbar","46616","45653","962","1"
"16","Dhule","50758","50087","670","1"
"17","Aurangabad","176549","172263","4284","2"
"18","Jalna","66332","65108","1224","0"
"19","Beed","109213","106322","2884","7"
"20","Latur","104917","102428","2489","0"
"21","Parbhani","58572","57293","1279","0"
"22","Hingoli","22177","21662","514","1"
"23","Nanded","102673","99968","2704","1"
"24","Osmanabad","75165","73022","2139","4"
"25","Amravati","105968","104339","1624","5"
"26","Akola","66184","64713","1470","1"
"27","Washim","45641","44995","641","5"
"28","Buldhana","92021","91185","836","0"
"29","Yavatmal","81983","80161","1820","2"
"30","Nagpur","576476","567229","9215","32"
"31","Wardha","65678","64268","1408","2"
"32","Bhandara","67947","66802","1142","3"
"33","Gondia","45421","44834","587","0"
"34","Chandrapur","98852","97244","1592","16"
