"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23913","","5337","","29250",""
"2","Total Active Cases","43 
(0.18%)","","03 
(0.06%)","","46 
(0.16%)",""
"3","Total Cured/Discharged","23700 
(99.1%)","","5274 
(98.8%)","","28974 
(99.1%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","07","","0","","07",""
"6","Total Positive cases in Home Isolation","26","","03","","29",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","10","","00","","10",""
"9","No. of Samples Tested (Today)","83","","112","","195",""
"10","No. of Samples Positive (Today)","05","","00","","05",""
"11","No. of Samples Negative (Today)","78","","112","","190",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","48 
49 
00 
00 
97"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(04/09/2022)","","Test Done Today 
(05/09/2022)","","Cumulative"
"","","a)RTPCR","37117","","137","","37254"
"","","b)TRUENAT","14995","","02","","14997"
"","","c)RAT","362574","","56","","362630"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","715911","","195","","716106"
