"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","672571","103","38274","0","410","17","37490","374"
"2","ALWAR","1337038","219","60295","0","307","7","59454","534"
"3","BANSWARA","260979","18","10045","0","104","0","9901","40"
"4","BARAN","182968","0","12004","0","61","0","11939","4"
"5","BARMER","347947","30","15637","0","186","0","15400","51"
"6","BHARATPUR","404751","57","19812","0","260","4","19350","202"
"7","BHILWARA","428274","96","30011","0","156","0","29649","206"
"8","BIKANER","626140","187","40773","0","546","0","39897","330"
"9","BUNDI","191893","10","7977","0","48","0","7919","10"
"10","CHITTORGARH","386900","85","20008","0","139","2","19672","197"
"11","CHURU","351649","8","16734","0","108","0","16616","10"
"12","DAUSA","230666","5","13371","0","62","2","13296","13"
"13","DHOLPUR","238789","7","11026","0","48","2","10964","14"
"14","DUNGARPUR","272343","24","18456","0","131","0","18281","44"
"15","GANGANAGAR","357513","16","19467","0","151","0","19220","96"
"16","HANUMANGARH","422049","6","16101","0","111","0","15970","20"
"17","JAIPUR","2719647","1527","194485","1","1974","195","186735","5776"
"18","JAISALMER","216288","5","13658","0","66","0","13585","7"
"19","JALORE","398617","0","10068","0","72","0","9996","0"
"20","JHALAWAR","318172","9","13635","0","187","0","13427","21"
"21","JHUNJHUNU","413665","4","14846","0","160","0","14669","17"
"22","JODHPUR","1213306","440","113846","0","1104","32","111464","1278"
"23","KARAULI","193382","2","7163","1","71","0","7086","6"
