"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","15,409"
"2","Number of persons tested positive today in Tamil Nadu","1,944"
"","Passengers returned from other states  by Road tested 
positive today","Andhra Pradesh-1"
"","Total","1,945"
"3","Total Number of persons tested positive till date","35,32,343"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","34,966/ 
6,79,26,919@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","34,173/ 
6,67,28,947"
"6","No. of Male / Female / Transgender tested positive today","1,118/827/0"
"7","No. of Male / Female / Transgender tested positive till date","20,59,371/14,72,934/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","345 (77 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,379/ 
34,78,902"
"10","Total number of deaths today/ till date","0 (0 Private &  
0 Govt) /38,032"
