,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict,deltaVaccinated3ForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2022-01-15,BR,6325,4,4489,172539,187095,199939,749.0,41339.0,27.0,17707.0,1254378.0,1797813.0,1059242.0,Araria,61,0,38,,6254,4263,2.0,420.0,0.0,96.0,,51936.0,27106.0,2806200,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,15485,139,14952,,1549774,967412,0,2022-01-15 22:54:29,119520000,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,781717,12127,733673,63429625,62028149,44570466,0,0.0,0,0,0,0
1,1,1,1,1,2022-01-15,BR,6325,4,4489,172539,187095,199939,749.0,41339.0,27.0,17707.0,1254378.0,1797813.0,1059242.0,Arwal,80,0,22,,1585,1301,0.0,337.0,0.0,89.0,,14703.0,9216.0,700843,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,7804,109,7371,,410952,293316,0,2022-01-15 22:54:29,119520000,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,781717,12127,733673,63429625,62028149,44570466,0,0.0,0,0,0,0
2,2,2,2,2,2022-01-15,BR,6325,4,4489,172539,187095,199939,749.0,41339.0,27.0,17707.0,1254378.0,1797813.0,1059242.0,Aurangabad,104,0,46,,3810,1676,7.0,536.0,0.0,179.0,,37449.0,9908.0,2511243,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,20672,75,20154,,1586386,1057446,0,2022-01-15 22:54:29,119520000,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,781717,12127,733673,63429625,62028149,44570466,0,0.0,0,0,0,0
3,3,3,3,3,2022-01-15,BR,6325,4,4489,172539,187095,199939,749.0,41339.0,27.0,17707.0,1254378.0,1797813.0,1059242.0,Banka,32,0,28,,3869,4262,1.0,397.0,0.0,108.0,,19267.0,24400.0,2029339,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,7869,112,7390,,1186368,862621,0,2022-01-15 22:54:29,119520000,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,781717,12127,733673,63429625,62028149,44570466,0,0.0,0,0,0,0
4,4,4,4,4,2022-01-15,BR,6325,4,4489,172539,187095,199939,749.0,41339.0,27.0,17707.0,1254378.0,1797813.0,1059242.0,Begusarai,221,0,117,,5669,8969,2.0,1259.0,0.0,598.0,,42119.0,49030.0,2954367,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,28970,561,27315,,1710252,1227806,0,2022-01-15 22:54:29,119520000,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,781717,12127,733673,63429625,62028149,44570466,0,0.0,0,0,0,0
5,5,5,5,5,2022-01-15,BR,6325,4,4489,172539,187095,199939,749.0,41339.0,27.0,17707.0,1254378.0,1797813.0,1059242.0,Bhagalpur,170,0,66,,7340,13134,7.0,1220.0,1.0,310.0,,48870.0,39868.0,3032226,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,27244,354,25854,,1797922,1281393,0,2022-01-15 22:54:29,119520000,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,781717,12127,733673,63429625,62028149,44570466,0,0.0,0,0,0,0
6,6,6,6,6,2022-01-15,BR,6325,4,4489,172539,187095,199939,749.0,41339.0,27.0,17707.0,1254378.0,1797813.0,1059242.0,Bhojpur,69,0,118,,1918,3124,3.0,574.0,0.0,315.0,,41453.0,27271.0,2720155,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,10982,238,10322,,1581447,1110088,0,2022-01-15 22:54:29,119520000,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,781717,12127,733673,63429625,62028149,44570466,0,0.0,0,0,0,0
7,7,7,7,7,2022-01-15,BR,6325,4,4489,172539,187095,199939,749.0,41339.0,27.0,17707.0,1254378.0,1797813.0,1059242.0,Buxar,62,0,18,,1709,3019,5.0,320.0,0.0,107.0,,21715.0,22140.0,1707643,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,9637,217,9163,,1074113,843734,0,2022-01-15 22:54:29,119520000,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,781717,12127,733673,63429625,62028149,44570466,0,0.0,0,0,0,0
8,8,8,8,8,2022-01-15,BR,6325,4,4489,172539,187095,199939,749.0,41339.0,27.0,17707.0,1254378.0,1797813.0,1059242.0,Darbhanga,137,0,81,,6852,5161,6.0,1098.0,1.0,151.0,,68820.0,30448.0,3921971,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,12244,371,10750,,2367409,1747457,0,2022-01-15 22:54:29,119520000,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,781717,12127,733673,63429625,62028149,44570466,0,0.0,0,0,0,0
9,9,9,9,9,2022-01-15,BR,6325,4,4489,172539,187095,199939,749.0,41339.0,27.0,17707.0,1254378.0,1797813.0,1059242.0,East Champaran,122,1,42,,9357,7039,0.0,664.0,2.0,128.0,,91004.0,44480.0,5082868,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,19832,529,18654,,2944363,2507996,0,2022-01-15 22:54:29,119520000,2022-01-15 22:54:00+05:30,https://twitter.com/BiharHealthDept,,781717,12127,733673,63429625,62028149,44570466,0,0.0,0,0,0,0
