Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,Anjaw,2,0,0,2,23,31,0,2.0,0.0,0.0,3.0,183.0,109.0,21089,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,1070,3,1065,21042,12622,9837,0,2022-01-15 23:55:30.217402,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,Changlang,24,0,2,86,438,332,0,82.0,0.0,5.0,525.0,4233.0,1282.0,147951,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,3896,22,3792,80112,101418,76209,0,2022-01-15 23:55:30.217424,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,East Kameng,3,0,0,3,43,21,0,5.0,0.0,0.0,27.0,709.0,118.0,78413,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,1099,0,1094,52793,24574,19181,0,2022-01-15 23:55:30.217428,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,East Siang,7,0,2,42,242,112,0,27.0,0.0,4.0,195.0,2733.0,675.0,99019,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,3258,17,3210,62519,60718,47544,0,2022-01-15 23:55:30.217427,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,Kamle,0,0,0,0,1,6,0,1.0,0.0,0.0,2.0,393.0,176.0,22256,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,513,0,512,6584,7937,5061,0,2022-01-15 23:55:30.217430,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,Kra Daadi,0,0,0,0,15,11,0,0.0,0.0,0.0,3.0,113.0,28.0,0,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,270,0,270,6071,6613,4249,0,2022-01-15 23:55:30.217433,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,Kurung Kumey,0,0,0,0,0,9,0,2.0,0.0,0.0,8.0,173.0,73.0,89717,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,513,1,510,9182,10520,7108,0,2022-01-15 23:55:30.217434,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,Lepa Rada,2,0,1,24,44,18,0,5.0,0.0,1.0,94.0,433.0,136.0,0,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,882,3,874,16916,14320,11430,0,2022-01-15 23:55:30.217436,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,Lohit,14,0,6,42,88,36,0,55.0,0.0,17.0,562.0,1073.0,325.0,145538,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,2977,27,2881,50401,34925,28167,0,2022-01-15 23:55:30.217438,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,Longding,0,0,0,4,314,142,0,1.0,0.0,0.0,22.0,1602.0,452.0,60000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,754,2,750,20016,22250,11383,0,2022-01-15 23:55:30.217439,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,Lower Dibang Valley,27,0,4,87,67,44,0,69.0,0.0,4.0,396.0,1005.0,445.0,53986,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,2511,11,2431,47972,35483,26540,0,2022-01-15 23:55:30.217440,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,Lower Siang,0,0,0,5,82,26,0,17.0,0.0,0.0,263.0,605.0,171.0,80597,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,755,8,730,21850,17681,11465,0,2022-01-15 23:55:30.217442,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,Lower Subansiri,15,0,0,86,71,24,0,29.0,0.0,0.0,275.0,840.0,305.0,82839,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,3069,15,3025,49664,29484,23597,0,2022-01-15 23:55:30.217443,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,Namsai,11,0,0,50,165,169,0,52.0,0.0,12.0,653.0,1931.0,658.0,95950,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,2206,17,2132,73341,71083,60190,0,2022-01-15 23:55:30.217444,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,Pakke Kessang,0,0,0,20,7,3,0,3.0,0.0,0.0,67.0,304.0,35.0,0,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,456,0,453,10611,8876,6827,0,2022-01-15 23:55:30.217446,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,Papum Pare,105,0,16,479,712,318,0,397.0,0.0,33.0,2604.0,5254.0,1607.0,176385,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,18841,98,18302,390186,157917,127663,0,2022-01-15 23:55:30.217421,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,Shi Yomi,0,0,0,0,2,8,0,0.0,0.0,0.0,0.0,159.0,25.0,13310,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,267,0,267,9574,7319,6167,0,2022-01-15 23:55:30.217447,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,Siang,0,0,0,1,21,11,0,1.0,0.0,0.0,26.0,304.0,109.0,31920,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,416,3,412,8214,15798,10967,0,2022-01-15 23:55:30.217448,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
2022-01-15,AR,266,0,33,1136,3029,1650,0,972.0,0.0,88.0,7033.0,27007.0,8471.0,Tawang,5,0,0,35,0,1,0,40.0,0.0,4.0,271.0,530.0,122.0,49950,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,2659,20,2589,43735,31420,26436,0,2022-01-15 23:55:30.217450,1504000,2022-01-15 19:00:00+05:30,https://twitter.com/DirHealth_ArPr,,56493,282,55141,1203574,853909,664913,0,0.0,0.0
