,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict,deltaVaccinated3ForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Balod,96,0,24,,1008,2413,3,318.0,0.0,54.0,,6112.0,14742.0,826165,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,27678,396,26960,,632174,445155,0,2022-01-15 23:55:44.948415,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
1,1,1,1,1,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Baloda Bazar,60,0,18,,2484,3151,6,378.0,1.0,122.0,,16380.0,18923.0,1305343,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,43610,472,42769,,858770,420677,0,2022-01-15 23:55:44.948422,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
2,2,2,2,2,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Balrampur,43,0,22,,268,744,3,264.0,0.0,60.0,,4205.0,11467.0,598855,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,20663,118,20257,,616428,315942,0,2022-01-15 23:55:44.948442,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
3,3,3,3,3,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Bametara,20,0,1,,484,2942,0,111.0,0.0,4.0,,4979.0,21138.0,197035,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,20118,237,19741,,596117,326022,0,2022-01-15 23:55:44.948416,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
4,4,4,4,4,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Bastar,27,0,0,,827,1315,6,305.0,1.0,24.0,,9265.0,5460.0,1302253,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,21460,189,20946,,576382,331877,0,2022-01-15 23:55:44.948444,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
5,5,5,5,5,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Bijapur,5,0,0,,243,599,1,165.0,0.0,0.0,,2535.0,1913.0,229832,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,8574,55,8287,,128254,74062,0,2022-01-15 23:55:44.948452,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
6,6,6,6,6,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Bilaspur,447,0,406,,3983,3766,169,2905.0,2.0,2181.0,,25309.0,22408.0,1961922,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,70440,1219,66780,,1265070,1008878,0,2022-01-15 23:55:44.948429,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
7,7,7,7,7,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Dakshin Bastar Dantewada,53,0,14,,126,209,4,340.0,0.0,24.0,,1707.0,899.0,533638,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,11264,26,10894,,193694,148238,0,2022-01-15 23:55:44.948447,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
8,8,8,8,8,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Dhamtari,92,0,2,,767,2353,6,364.0,1.0,8.0,,6071.0,20611.0,799199,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,27737,547,26745,,609669,392646,0,2022-01-15 23:55:44.948421,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
9,9,9,9,9,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Durg,653,1,679,,1535,3000,67,4610.0,4.0,1138.0,,15819.0,28478.0,3343079,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,103189,1810,96440,,1254223,889481,0,2022-01-15 23:55:44.948403,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
10,10,10,10,10,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Gariaband,9,0,1,,1351,2003,1,103.0,0.0,36.0,,4594.0,11154.0,597653,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,19838,194,19558,,414651,210552,0,2022-01-15 23:55:44.948428,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
11,11,11,11,11,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Gaurela Pendra Marwahi,33,0,8,,216,614,12,234.0,0.0,39.0,,1978.0,3281.0,0,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,12314,146,11917,,225727,131302,0,2022-01-15 23:55:44.948436,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
12,12,12,12,12,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Janjgir Champa,204,0,15,,1785,3284,58,1701.0,3.0,369.0,,19659.0,24656.0,1620632,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,60014,843,57240,,1131667,621282,0,2022-01-15 23:55:44.948433,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
13,13,13,13,13,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Jashpur,146,0,182,,685,962,28,1189.0,0.0,782.0,,9814.0,5380.0,852043,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,28976,212,27727,,616852,385957,0,2022-01-15 23:55:44.948443,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
14,14,14,14,14,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Kabeerdham,39,0,1,,1896,1273,6,149.0,0.0,13.0,,11969.0,7066.0,584667,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,22997,267,22526,,580119,379504,0,2022-01-15 23:55:44.948418,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
15,15,15,15,15,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Kondagaon,28,0,9,,1137,3516,0,170.0,0.0,29.0,,9899.0,38094.0,578326,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,13328,99,13075,,416712,279175,0,2022-01-15 23:55:44.948446,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
16,16,16,16,16,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Korba,366,2,440,,1601,1274,55,2848.0,4.0,1810.0,,10789.0,10985.0,1206563,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,58812,588,56177,,867008,492912,0,2022-01-15 23:55:44.948432,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
17,17,17,17,17,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Koriya,64,0,28,,1945,14893,3,526.0,0.0,287.0,,8341.0,24335.0,659039,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,27772,177,27100,,438868,355187,0,2022-01-15 23:55:44.948440,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
18,18,18,18,18,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Mahasamund,48,0,19,,934,2329,0,194.0,0.0,54.0,,7915.0,15692.0,1032275,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,31637,366,31085,,827597,804422,0,2022-01-15 23:55:44.948426,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
19,19,19,19,19,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Mungeli,64,0,0,,431,967,0,218.0,0.0,2.0,,3626.0,9294.0,701707,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,24254,167,23774,,477431,210942,0,2022-01-15 23:55:44.948435,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
20,20,20,20,20,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Narayanpur,24,0,0,,763,1872,0,120.0,0.0,0.0,,4020.0,3278.0,140206,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,4140,14,4005,,70198,36078,0,2022-01-15 23:55:44.948451,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
21,21,21,21,21,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Other State,0,0,4,,0,0,20,0.0,0.0,15.0,,0.0,0.0,0,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,852,131,717,,0,0,0,2022-01-15 23:55:44.948453,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
22,22,22,22,22,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Raigarh,663,2,416,,1885,862,197,3579.0,3.0,1062.0,,11854.0,6772.0,1493627,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,68121,983,62966,,1143234,1121229,0,2022-01-15 23:55:44.948430,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
23,23,23,23,23,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Raipur,1692,3,1596,,5875,4295,189,10825.0,14.0,6333.0,,43558.0,31201.0,4062160,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,173137,3161,161514,,1858491,1445648,0,2022-01-15 23:55:44.948420,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
24,24,24,24,24,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Rajnandgaon,238,0,164,,1330,4484,14,1405.0,1.0,552.0,,13598.0,33198.0,1537520,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,57825,517,56153,,1233633,865698,0,2022-01-15 23:55:44.948413,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
25,25,25,25,25,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Sukma,25,0,13,,342,224,4,175.0,0.0,86.0,,2368.0,2007.0,249000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,8372,20,8137,,152754,116897,0,2022-01-15 23:55:44.948448,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
26,26,26,26,26,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Surajpur,90,0,25,,3372,24008,31,372.0,0.0,179.0,,10665.0,57272.0,660280,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,29588,224,29019,,570359,449398,0,2022-01-15 23:55:44.948441,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
27,27,27,27,27,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Surguja,172,0,107,,890,2086,5,946.0,0.0,426.0,,6847.0,11485.0,420661,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,34890,245,33872,,727284,423394,0,2022-01-15 23:55:44.948438,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
28,28,28,28,28,2022-01-15,CT,5525,8,4240,0,38801,90869,889,34942.0,34.0,15835.0,,278323.0,452619.0,Uttar Bastar Kanker,124,0,46,,638,1431,1,428.0,0.0,146.0,,4447.0,11430.0,748593,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,24153,224,23586,,547983,406305,0,2022-01-15 23:55:44.948449,28724000,2022-01-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1055753,13647,1009967,,19031349,13088860,0,0.0,0,0,0,0
