"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1250","14","0","33","167"
"2","ALWAR","1506","39","0","94","223"
"3","BANSWARA","189","5","0","1","42"
"4","BARAN","379","0","0","0","2"
"5","BARMER","121","5","0","0","6"
"6","BHARATPUR","714","23","0","0","374"
"7","BHILWARA","774","19","0","6","95"
"8","BIKANER","946","2","0","1","47"
"9","BUNDI","155","6","0","7","46"
"10","CHITTORGARH","888","15","0","21","150"
"11","CHURU","303","0","1","1","2"
"12","DAUSA","784","22","0","11","155"
"13","DHOLPUR","252","19","0","0","39"
"14","DUNGARPUR","555","12","0","3","43"
"15","GANGANAGAR","58","0","0","1","4"
"16","HANUMANGARH","437","3","0","7","24"
"17","JAIPUR","2511","157","1","268","1371"
"18","JAISALMER","113","1","0","2","29"
"19","JALORE","221","5","0","1","20"
"20","JHALAWAR","540","1","1","3","20"
"21","JHUNJHUNU","1016","0","0","0","6"
"22","JODHPUR","768","37","0","18","215"
"23","KARAULI","285","5","0","0","5"
"24","KOTA","1114","8","0","11","45"
"25","NAGAUR","768","12","0","12","88"
"26","PALI","921","18","0","1","54"
