"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1158","17","0","51","133"
"2","ALWAR","1393","27","0","8","242"
"3","BANSWARA","187","1","0","7","36"
"4","BARAN","264","0","0","0","2"
"5","BARMER","56","6","0","0","12"
"6","BHARATPUR","424","49","0","121","302"
"7","BHILWARA","691","15","0","31","79"
"8","BIKANER","785","7","0","12","42"
"9","BUNDI","222","5","0","0","51"
"10","CHITTORGARH","771","6","0","34","122"
"11","CHURU","265","0","0","0","2"
"12","DAUSA","709","15","0","22","148"
"13","DHOLPUR","166","0","0","4","35"
"14","DUNGARPUR","850","3","0","0","46"
"15","GANGANAGAR","305","0","0","0","4"
"16","HANUMANGARH","374","2","0","1","25"
"17","JAIPUR","2545","104","1","296","1178"
"18","JAISALMER","146","13","0","10","32"
"19","JALORE","297","0","0","2","18"
"20","JHALAWAR","518","3","0","2","21"
"21","JHUNJHUNU","986","0","0","0","6"
"22","JODHPUR","746","36","0","36","215"
"23","KARAULI","920","0","0","0","5"
"24","KOTA","1092","11","0","12","44"
"25","NAGAUR","494","0","0","7","81"
"26","PALI","867","1","0","2","53"
