"Total No. of Sample Taken Today","13787"
"Total No. of Positive Cases Detected Today","527"
"Total Active COVID-19 Patients","2861"
"Total No. of Active Cases under Home Isolation (22-06-2022)","2791"
"Total No. of Samples found Positive till date","1011421"
"Total Positive COVID-19 Patients Recovered / Discharged till date","997915"
"No. of Deaths","10622"
"Total No. of People Vaccinated Today","21025 
(1st Dose: 1277 
2nd Dose: 7043 
Precaution Dose: 12705"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23562706 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 87% for 15yrs above population)","19399612 (87%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","902300"
"Cumulative Coverage of Total COVID-19 Vaccination","43864618"
"COVID-19 Today (22-06-2022) Positivity Rate","4.01%"
"Recovery Rate","98.66%"
"Fatality Rate","1.05%"
