"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22904","","5273","","28177",""
"2","Total Active Cases","60 
(0.26%)","","00 
(0.0%)","","60 
(0.21%)",""
"3","Total Cured/ Discharged","22676 
(99%)","","5213                                  
(98.9%)","","(98.98%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","11","","0","","11",""
"6","Total Positive cases in Home Isolation","14","","00","","14",""
"7","COVID Care Centre","35","","00","","35",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","226","","48","","274",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","222","","48","","270",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","218 
        00 
        00 
        00 
       218"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(12/03/2022)","","Test Done Today 
(13/03/2022)","","Cumulative"
"","","a)  RTPCR","310588","","242","","310830"
"","","b)  TRUENAT","12580","","20","","12600"
"","","c)  RAT","347163","","12","","347175"
"","","d)  CBNAAT","842","","00","","842"
"","","TOTAL","671173","","274","","671447"
