"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","542"
"2","Number of persons tested positive today in Tamil Nadu","96"
"","Passengers returned from other countries  by 
International airport tested positive today","USA-1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Kerala-1"
"","Total","98$"
"3","Total Number of persons tested positive till date","34,55,474"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","12,356/ 
6,66,26,326@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","12,340/ 
6,54,49,017"
"6","No. of Male / Female / Transgender tested positive today","56/42/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,583/14,38,853/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","337 (69 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","49/ 
34,16,907"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
