"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23034","","5284","","28318",""
"2","Total Active Cases","26 
(0.1%)","","01 
(0.02%)","","27 
(0.1%)",""
"3","Total Cured/Discharged","22840 
(99.2%)","","5223 
(98.8%)","","28063 
(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","04","","00","","04",""
"6","Total Positive cases in Home Isolation","20","","01","","21",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","186","","52","","238",""
"10","No. of Samples Positive (Today)","04","","01","","05",""
"11","No. of Samples Negative (Today)","181","","51","","232",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","55 
22 
11 
00 
88"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(19/06/2022)","","Test Done Today 
(20/06/2022)","","Cumulative"
"","","a)RTPCR","325140","","176","","325316"
"","","b)TRUENAT","14242","","04","","14246"
"","","c)RAT","350019","","58","","350077"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","690506","","238","","690744"
