"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","21","55","67692","2","4751","72437","8"
"Bageshwar","2","4","37518","0","2135","39649","0"
"Chamoli","4","7","50614","0","3293","53905","0"
"Champawat","2","151","64122","0","1967","66086","0"
"Dehradun","292","494","398707","100","37168","435740","63"
"Haridwar","84","201","318448","9","13759","332177","13"
"Nainital","45","100","99344","16","12356","111630","8"
"Pauri Garhwal","61","76","103111","1","5435","108539","15"
"Pithoragarh","1","3","43773","1","2618","46379","0"
"Rudraprayag","4","5","29308","1","2875","32183","0"
"Tehri Garhwal","15","51","43522","9","2566","46081","0"
"US Nagar","177","277","146814","7","9108","155898","12"
"Uttarkashi","0","111","45835","12","1844","47677","0"
"Total","708","1535","1448808","158","99875","1548381","119"
