,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
0,2021-11-24,KA,254,3,546,65371,162857,710002,0,1671.0,24.0,2644.0,507220.0,580205.0,1905815.0,Bagalkote,0,0,0,,4509,36679,0,0.0,0.0,0.0,,12458.0,70702.0,1890826,,,,35180,333,34844,,1256715,764985,2021-11-24T23:19:32.121177+05:30,65798000,2021-11-24T23:19:32.121177+05:30,,,2994255,38185,2949629,52847392,44031537,27754601
1,2021-11-24,KA,254,3,546,65371,162857,710002,0,1671.0,24.0,2644.0,507220.0,580205.0,1905815.0,Ballari,0,0,1,,9820,25788,0,4.0,0.0,14.0,,39751.0,54534.0,2532383,,,,97789,1686,95998,,1850908,1033058,2021-11-24T23:19:32.121177+05:30,65798000,2021-11-24T23:19:32.121177+05:30,,,2994255,38185,2949629,52847392,44031537,27754601
2,2021-11-24,KA,254,3,546,65371,162857,710002,0,1671.0,24.0,2644.0,507220.0,580205.0,1905815.0,Belagavi,4,0,2,,18042,74779,0,15.0,1.0,18.0,,70609.0,193766.0,4778439,,,,79962,943,78965,,3350322,1831330,2021-11-24T23:19:32.121177+05:30,65798000,2021-11-24T23:19:32.121177+05:30,,,2994255,38185,2949629,52847392,44031537,27754601
3,2021-11-24,KA,254,3,546,65371,162857,710002,0,1671.0,24.0,2644.0,507220.0,580205.0,1905815.0,Bengaluru Rural,2,0,7,,1547,10177,0,11.0,0.0,23.0,,3782.0,22635.0,987257,,,,62078,890,61144,,714260,461564,2021-11-24T23:19:32.121177+05:30,65798000,2021-11-24T23:19:32.121177+05:30,,,2994255,38185,2949629,52847392,44031537,27754601
4,2021-11-24,KA,254,3,546,65371,162857,710002,0,1671.0,24.0,2644.0,507220.0,580205.0,1905815.0,Bengaluru Urban,152,1,464,,6725,46335,0,977.0,10.0,1960.0,,32231.0,215592.0,9588910,,,,1255440,16326,1233996,,9321520,6527520,2021-11-24T23:19:32.121177+05:30,65798000,2021-11-24T23:19:32.121177+05:30,,,2994255,38185,2949629,52847392,44031537,27754601
5,2021-11-24,KA,254,3,546,65371,162857,710002,0,1671.0,24.0,2644.0,507220.0,580205.0,1905815.0,Bidar,0,0,0,,5070,19400,0,2.0,0.0,0.0,,9110.0,33915.0,1700018,,,,24344,401,23937,,962785,620558,2021-11-24T23:19:32.121177+05:30,65798000,2021-11-24T23:19:32.121177+05:30,,,2994255,38185,2949629,52847392,44031537,27754601
6,2021-11-24,KA,254,3,546,65371,162857,710002,0,1671.0,24.0,2644.0,507220.0,580205.0,1905815.0,Chamarajanagara,2,0,2,,1989,12776,0,21.0,1.0,15.0,,6202.0,40395.0,1020962,,,,33045,503,32505,,656729,430665,2021-11-24T23:19:32.121177+05:30,65798000,2021-11-24T23:19:32.121177+05:30,,,2994255,38185,2949629,52847392,44031537,27754601
7,2021-11-24,KA,254,3,546,65371,162857,710002,0,1671.0,24.0,2644.0,507220.0,580205.0,1905815.0,Chikkaballapura,0,0,0,,997,22110,0,4.0,0.0,5.0,,2471.0,25905.0,1254377,,,,43972,431,43534,,862575,568147,2021-11-24T23:19:32.121177+05:30,65798000,2021-11-24T23:19:32.121177+05:30,,,2994255,38185,2949629,52847392,44031537,27754601
8,2021-11-24,KA,254,3,546,65371,162857,710002,0,1671.0,24.0,2644.0,507220.0,580205.0,1905815.0,Chikkamagaluru,5,0,2,,1565,15886,0,27.0,0.0,28.0,,3570.0,35286.0,1137753,,,,51198,396,50756,,748001,426950,2021-11-24T23:19:32.121177+05:30,65798000,2021-11-24T23:19:32.121177+05:30,,,2994255,38185,2949629,52847392,44031537,27754601
9,2021-11-24,KA,254,3,546,65371,162857,710002,0,1671.0,24.0,2644.0,507220.0,580205.0,1905815.0,Chitradurga,4,0,1,,5990,19848,0,14.0,0.0,9.0,,28500.0,46214.0,1660378,,,,36709,208,36465,,1131635,748655,2021-11-24T23:19:32.121177+05:30,65798000,2021-11-24T23:19:32.121177+05:30,,,2994255,38185,2949629,52847392,44031537,27754601
