"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1773519","20763983"
"2","Total No. of patients tested Positive","24082","784610"
"3","No. of patients discharged","23663","763937"
"4","Total Deaths reported","200","20505"
"5","Sample collected on the day","","7842"
"6","Test conducted on the day","","7724"
"7","Positive cases on the day","","24"
"8","Number of active Cases","","168"
"9","No. of Patients on oxygen support","","11"
"10","Patients at critical care Level-3 facilities","","4"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218885"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117938"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","8"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211951"
"18","Frontline Workers vaccinated with 2nd dose on the day","","17"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019223"
"20","Above 45 Vaccinated with 1st dose on the day","","44"
"21","Total Above 45 Vaccinated with 1st dose","","8346440"
"22","Above 45 Vaccinated with 2nd dose on the day","","261"
"23","Total Above 45 Vaccinated with 2nd dose","","7650692"
"24","18-44 years age group Vaccinated with 1st dose on the day","","201"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12660448"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","1160"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10693231"
"28","15-17 years age group Vaccinated with 1st dose on the day","","49"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114213"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","332"
"31","Total 15-17 years age group Vaccinated with 2nddose","","860605"
"32","12-14 years age group Vaccinated with 1st dose on the day","","272"
"33","Total 12-14 years age group Vaccinated with 1st dose","","676060"
"34","12-14 years age group Vaccinated with 2nddose on the day","","762"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","480449"
"36","Precautionary dose given on the day","","3568"
"37","Total Precautionary dose given","","1758116"
"38","Total Vaccination 1st dose on the day","","247"
"39","Total Vaccination 2nd dose on the day","","1446"
"40","Total Vaccination 1st and 2nd dose on the day","","1693"
