"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23898","","5337","","29235",""
"2","Total Active Cases","38 
(0.16%)","","03 
(0.06%)","","41 
(0.14%)",""
"3","Total Cured/Discharged","23690 
(99.1%)","","5274 
(98.8%)","","28964 
(99.1%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","05","","0","","05",""
"6","Total Positive cases in Home Isolation","30","","03","","33",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","03","","00","","03",""
"9","No. of Samples Tested (Today)","112","","89","","201",""
"10","No. of Samples Positive (Today)","08","","02","","10",""
"11","No. of Samples Negative (Today)","104","","87","","191",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","40 
00 
02 
00 
42"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(01/09/2022)","","Test Done Today 
(02/09/2022)","","Cumulative"
"","","a)RTPCR","36834","","155","","36989"
"","","b)TRUENAT","14971","","11","","14982"
"","","c)RAT","362493","","35","","362528"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","715523","","201","","715724"
