"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 29.08.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","1192","",""
"","","2","Total Discharges","4002510","",""
"","","3","Today's Tests Conducted","12442","",""
"","","4","Total Tests Conducted","68583333","",""
"","","5","Today’s New Cases Reported (28.08.2022, 00:00 to 23:59)","659","",""
"","","6","Total Active Cases","7324","",""
"","","7","Today's Deaths Reported","2","",""
"","","8","Total Covid Deaths","40194","",""
"","","9","Total Positive Cases","4050070","",""
"","","10","Positivity Rate for the day (28.08.2022, 00:00 to 23:59)","5.29%","",""
"","","11","*Weekly Total Positivity Rate","4.68%","",""
"","","12","Case Fatality Rate (CFR) for the day (28.08.2022, 00:00 to 23:59)","0.30%","",""
"","","13","*Weekly Case Fatality Rate","0.26%","",""
"*From 23-08-2022 to 29-08-202 
Particulars 
Today’s 
Cumulative 
3636* 
1426429 
A 
Total Passengers screened at Air ports 
          *Date: 28-08-2022  
 
Date: 29-08-2022 
Page 1 of 9","","","","","",""
