"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23860","","5334","","29194",""
"2","Total Active Cases","55 
(0.23%)","","03 
(0.06%)","","58 
(0.19%)",""
"3","Total Cured/Discharged","23635 
(99%)","","5271 
(98.8%)","","28906 
(99%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","10","","0","","10",""
"6","Total Positive cases in Home Isolation","40","","03","","43",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","05","","00","","05",""
"9","No. of Samples Tested (Today)","97","","171","","268",""
"10","No. of Samples Positive (Today)","06","","01","","07",""
"11","No. of Samples Negative (Today)","91","","170","","261",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","62 
51 
03 
00 
116"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(25/08/2022)","","Test Done Today 
(26/08/2022)","","Cumulative"
"","","a)RTPCR","36005","","209","","36214"
"","","b)TRUENAT","14915","","07","","14922"
"","","c)RAT","361997","","52","","362049"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","714142","","268","","714410"
