"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1078","12","0","23","118"
"2","ALWAR","1074","27","0","76","156"
"3","BANSWARA","261","2","0","1","9"
"4","BARAN","511","1","0","1","3"
"5","BARMER","55","1","0","0","14"
"6","BHARATPUR","449","6","0","23","117"
"7","BHILWARA","506","14","0","13","97"
"8","BIKANER","814","6","0","10","32"
"9","BUNDI","157","2","0","8","23"
"10","CHITTORGARH","416","7","0","14","80"
"11","CHURU","244","2","0","0","2"
"12","DAUSA","800","4","0","22","100"
"13","DHOLPUR","450","0","0","0","24"
"14","DUNGARPUR","296","0","0","3","70"
"15","GANGANAGAR","373","0","0","1","7"
"16","HANUMANGARH","402","1","0","7","15"
"17","JAIPUR","2114","75","0","109","784"
"18","JAISALMER","46","0","0","3","16"
"19","JALORE","183","0","0","3","18"
"20","JHALAWAR","524","2","1","2","26"
"21","JHUNJHUNU","715","5","0","1","5"
"22","JODHPUR","609","26","0","36","167"
"23","KARAULI","713","2","0","4","9"
"24","KOTA","1108","7","0","8","34"
"25","NAGAUR","476","5","0","0","43"
"26","PALI","721","2","0","2","48"
