"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,288"
"2","Number of persons tested positive today in Tamil Nadu","892"
"3","Total Number of persons tested positive till date","35,56,430"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","24,912/ 
6,84,50,318@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","24,515/ 
6,72,41,943"
"6","No. of Male / Female / Transgender tested positive today","532/360/0"
"7","No. of Male / Female / Transgender tested positive till date","20,73,817/14,82,575/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (77 Govt+ 
270  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,190/ 
35,10,109"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,033"
