"Total No. of Sample Taken Today","6266"
"Total No. of Positive Cases Detected Today","96"
"Total Active COVID-19 Patients","313"
"Total No. of Active Cases under Home Isolation (07-04-2022)","308"
"Total No. of Samples found Positive till date","985634"
"Total Positive COVID-19 Patients Recovered / Discharged till date","974681"
"No. of Deaths","10617"
"Total No. of People Vaccinated Today","20123 
(1st Dose: 7128 
2nd Dose: 11042 
Precaution Dose: 1953)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23188132 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 87% for 18yrs above population)","18547481 (87%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","290306"
"Cumulative Coverage of Total COVID-19 Vaccination","42025919"
"COVID-19 Today (07-04-2022) Positivity Rate","1.62%"
"Recovery Rate","98.89%"
"Fatality Rate","1.08%"
"Tests Per Million Population","675117"
