"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22977","","5281","","28258",""
"2","Total Active Cases","02 
(0.01%)","","01 
(0.02%)","","03 
(0.01%)",""
"3","Total Cured/Discharged","22807 
(99.3%)","","5220 
(98.8%)","","28027 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","0","","00",""
"6","Total Positive cases in Home Isolation","02","","01","","03",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","105","","20","","125",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","105","","20","","125",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","53 
15 
14 
16 
98"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(19/05/2022)","","Test Done Today 
(20/05/2022)","","Cumulative"
"","","a)RTPCR","321483","","83","","321566"
"","","b)TRUENAT","13938","","07","","13945"
"","","c)RAT","348896","","35","","348931"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","685422","","125","","685547"
