"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1592145*","20582609*"
"2","Total No. of patients tested Positive","22955","783483"
"3","No. of patients discharged","22040","762314"
"4","Total Deaths reported","175","20481"
"5","Sample collected on the day","","4103"
"6","Test conducted on the day","","4136"
"7","Positive cases on the day","","55"
"8","Number of active Cases","","688"
"9","No. of Patients on oxygen support","","34"
"10","Patients at critical care Level-3 facilities","","8"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218865"
"14","Frontline Workers vaccinated with 1st dose on the day","","2"
"15","Total Frontline Workers vaccinated with 1st dose","","1117884"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","3"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211854"
"18","Frontline Workers vaccinated with 2nd dose on the day","","25"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018897"
"20","Above 45 Vaccinated with 1st dose on the day","","242"
"21","Total Above 45 Vaccinated with 1st dose","","8344726"
"22","Above 45 Vaccinated with 2nd dose on the day","","638"
"23","Total Above 45 Vaccinated with 2nd dose","","7640726"
"24","18-44 years age group Vaccinated with 1st dose on the day","","506"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12653569"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","1623"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10664656"
"28","15-17 years age group Vaccinated with 1st dose on the day","","122"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1111609"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","485"
"31","Total 15-17 years age group Vaccinated with 2nddose","","852116"
"32","12-14 years age group Vaccinated with 1st dose on the day","","472"
"33","Total 12-14 years age group Vaccinated with 1st dose","","666105"
"34","12-14 years age group Vaccinated with 2nddose on the day","","756"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","463039"
"36","Precautionary dose given on the day","","9524"
"37","Total Precautionary dose given","","1621553"
"38","Total Vaccination 1st dose on the day","","753"
"39","Total Vaccination 2nd dose on the day","","2289"
"40","Total Vaccination 1st and 2nd dose on the day","","3042"
