"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227430","221348","5880","202"
"12","Nashik","473926","464637","8911","378"
"13","Ahmednagar","378079","370687","7243","149"
"14","Jalgaon","149763","146920","2762","81"
"15","Nandurbar","46647","45664","962","21"
"16","Dhule","50865","50142","670","53"
"17","Aurangabad","176989","172513","4284","192"
"18","Jalna","66446","65149","1224","73"
"19","Beed","109280","106370","2885","25"
"20","Latur","105164","102588","2489","87"
"21","Parbhani","58615","57324","1279","12"
"22","Hingoli","22218","21694","514","10"
"23","Nanded","102785","100045","2704","36"
"24","Osmanabad","75345","73100","2139","106"
"25","Amravati","106096","104423","1624","49"
"26","Akola","66388","64821","1470","97"
"27","Washim","46090","45142","641","307"
"28","Buldhana","92174","91209","836","129"
"29","Yavatmal","82099","80222","1820","57"
"30","Nagpur","577997","568271","9215","511"
"31","Wardha","65772","64340","1408","24"
"32","Bhandara","68132","66913","1142","77"
"33","Gondia","45476","44865","587","24"
"34","Chandrapur","99028","97382","1592","54"
