"S.No","District","Cumulative 
Sample","Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dischar
ged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","740844","102","48628","1","430","165","46624","1574"
"2","ALWAR","1460621","120","83217","1","319","410","80810","2088"
"3","BANSWARA","287474","4","13678","0","106","177","12566","1006"
"4","BARAN","208672","33","14844","1","63","49","14156","625"
"5","BARMER","387351","15","21255","0","198","89","20595","462"
"6","BHARATPUR","451310","90","30942","0","270","248","29910","762"
"7","BHILWARA","476310","112","37551","0","160","232","36006","1385"
"8","BIKANER","684623","58","48991","2","574","83","47603","814"
"9","BUNDI","213755","30","9560","0","52","26","9158","350"
"10","CHITTORGARH","432654","92","28932","0","140","255","28764","28"
"11","CHURU","394517","51","20172","1","113","117","19434","625"
"12","DAUSA","260672","18","15585","0","74","62","15265","246"
"13","DHOLPUR","262221","25","13556","0","49","94","13088","419"
"14","DUNGARPUR","317085","83","25086","0","134","373","23995","957"
"15","GANGANAGAR","394554","174","26997","0","156","134","24936","1905"
"16","HANUMANGARH","461656","72","21945","0","114","178","21182","649"
"17","JAIPUR","3072274","1140","265295","4","2084","1576","253975","9236"
"18","JAISALMER","234292","76","16594","0","68","43","16050","476"
"19","JALORE","426304","3","10492","0","77","10","10337","78"
"20","JHALAWAR","347044","34","17213","0","201","104","16742","270"
"21","JHUNJHUNU","456537","71","18272","1","176","41","17169","927"
"22","JODHPUR","1324231","300","138552","2","1152","599","134895","2505"
"23","KARAULI","218602","0","8582","0","83","23","8294","205"
