"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18607","","3763","","22370",""
"2","Total Active Cases","232 
(1.25%)","","37 
(0.98%)","","269 
(1.2%)",""
"3","Total Cured/ Discharged","18212 
(97.9%)","","3668                                  
(97.5%)","","(97.8%)",""
"4","Total Died","163 
(0.88%)","","58 
(1.5%)","","221 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","10","","00","","10",""
"6","Total Positive cases in Home Isolation","155","","37","","192",""
"7","COVID Care Centre","55","","0","","55",""
"8","Facility Isolation","12","","0","","12",""
"9","No. of Samples Tested (Today)","263","","229","","492",""
"10","No. of Samples Positive (Today)","20","","01","","21",""
"11","No. of Samples Negative (Today)","242","","228","","470",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","155 
           00 
       00 
            22 
          177"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(05/01/2022)","","Test Done Today 
(06/01/2022)","","Cumulative"
"","","a)  RTPCR","256842","","366","","257208"
"","","b)  TRUENAT","11281","","09","","11290"
"","","c)  RAT","339341","","117","","339458"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","607636","","492","","608128"
