"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24041","","5338","","29379",""
"2","Total Active Cases","10 
(0.04%)","","00 
(0%)","","10 
(0.03%)",""
"3","Total Cured/Discharged","23860 
(99.25%)","","5278 
(98.9%)","","29138 
(99.18%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","00","","00",""
"6","Total Positive cases in Home Isolation","07","","00","","07",""
"7","COVID Care Centre","01","","00","","01",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","64","","11","","75",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","62","","11","","73",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","42 
00 
00 
00 
42"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(19/10/2022)","","Test Done Today 
(20/10/2022)","","Cumulative"
"","","a)RTPCR","340642","","55","","340697"
"","","b)TRUENAT","15518","","07","","15525"
"","","c)RAT","364123","","13","","364136"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","721508","","75","","721583"
