"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","21099","","4437","","25536",""
"2","Total Active Cases","970 
(4.6%)","","325 
(7.3%)","","1295 
(5.1%)",""
"3","Total Cured/ Discharged","19965 
(94.6%)","","4053                                  
(91.3%)","","(94.1%)",""
"4","Total Died","164 
(0.78%)","","59 
(1.3%)","","223 
(0.87%)",""
"5","Total Positive cases admitted in COVID 
Hospital","20","","4","","24",""
"6","Total Positive cases in Home Isolation","835","","321","","1156",""
"7","COVID Care Centre","92","","0","","92",""
"8","Facility Isolation","23","","0","","23",""
"9","No. of Samples Tested (Today)","534","","474","","1008",""
"10","No. of Samples Positive (Today)","125","","63","","188",""
"11","No. of Samples Negative (Today)","406","","411","","817",""
"12","Repeat Positive/ Resampling (Today)","03","","00","","03",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","294 
          00 
      00 
         103 
          397"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(27/01/2022)","","Test Done Today 
(28/01/2022)","","Cumulative"
"","","a)  RTPCR","273853","","818","","274671"
"","","b)  TRUENAT","11577","","28","","11605"
"","","c)  RAT","343010","","139","","343149"
"","","d)  CBNAAT","288","","23","","311"
"","","TOTAL","628728","","1008","","629736"
