"S. No","Subject","Number"
"1","Total Number of people vaccinated on 11th Feb","3,57,739"
"2","First Dose on 11th Feb","26,759"
"3","Second Dose on 11th Feb","2,90,950"
"4","Precaution Dose on 11th Feb","40,030"
"5","Cumulative Vaccination till 11th Feb","12,44,04,988"
"6","Cumulative Vaccination First Dose","6,93,30,173"
"7","Cumulative Vaccination Second Dose","5,37,75,551"
"8","Cumulative Precaution Dose","12,99,264"
"9","Number of CVC (Common Vaccination Centres)","4,077"
"10","Cumulative AEFI cases reported","6,849"
"11","Vaccine wastage","-7%"
