"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,453"
"2","Number of persons tested positive today in Tamil Nadu","252"
"","Passengers returned from other countries  by 
International airport tested positive today","USA-1 
UAE-1"
"","Passengers returned from other states  by Road tested 
positive today","Kerala-1"
"","Total","255"
"3","Total Number of persons tested positive till date","34,57,637"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","12,081/ 
6,67,98,123@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","12,036/ 
6,56,20,397"
"6","No. of Male / Female / Transgender tested positive today","130/125/0"
"7","No. of Male / Female / Transgender tested positive till date","20,17,771/14,39,828/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","134/ 
34,18,159"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
