"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1079389","20068267"
"2","Total No. of patients tested Positive","7330","766334"
"3","No. of patients discharged","5687","746937"
"4","Total Deaths reported","48","17794"
"5","Sample collected on the day","","12037"
"6","Test conducted on the day","","11748"
"7","Positive cases on the day","","249"
"8","Number of active Cases","","1603"
"9","No. of Patients on oxygen support","","53"
"10","Patients at critical care Level-3 facilities","","6"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218757"
"14","Frontline Workers vaccinated with 1st dose on the day","","6"
"15","Total Frontline Workers vaccinated with 1st dose","","1117622"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","6"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211186"
"18","Frontline Workers vaccinated with 2nd dose on the day","","17"
"19","Total Frontline Workers vaccinated with 2nd dose","","1016364"
"20","Above 45 Vaccinated with 1st dose on the day","","236"
"21","Total Above 45 Vaccinated with 1st dose","","8332161"
"22","Above 45 Vaccinated with 2nd dose on the day","","596"
"23","Total Above 45 Vaccinated with 2nd dose","","7545624"
"24","18-44 years age group Vaccinated with 1st dose on the day","","601"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12610493"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","1539"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10441836"
"28","15-17 years age group Vaccinated with 1st dose on the day","","77"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1096205"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","215"
"31","Total 15-17 years age group Vaccinated with 2nddose","","805215"
"32","12-14 years age group Vaccinated with 1st dose on the day","","205"
"33","Total 12-14 years age group Vaccinated with 1st dose","","620739"
"34","12-14 years age group Vaccinated with 2nddose on the day","","219"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","395030"
"36","Precautionary dose given on the day","","2809"
"37","Total Precautionary dose given","","816901"
"38","Total Vaccination 1st dose on the day","","844"
"39","Total Vaccination 2nd dose on the day","","2158"
"40","Total Vaccination 1st and 2nd dose on the day","","3002"
