"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","*1084361","*20073239"
"2","Total No. of patients tested Positive","7558","766561"
"3","No. of patients discharged","5851","747101"
"4","Total Deaths reported","50","17796"
"5","Sample collected on the day","","4956"
"6","Test conducted on the day","","4881"
"7","Positive cases on the day","","212"
"8","Number of active Cases","","1664"
"9","No. of Patients on oxygen support","","55"
"10","Patients at critical care Level-3 facilities","","8"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218760"
"14","Frontline Workers vaccinated with 1st dose on the day","","10"
"15","Total Frontline Workers vaccinated with 1st dose","","1117632"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","14"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211200"
"18","Frontline Workers vaccinated with 2nd dose on the day","","81"
"19","Total Frontline Workers vaccinated with 2nd dose","","1016445"
"20","Above 45 Vaccinated with 1st dose on the day","","789"
"21","Total Above 45 Vaccinated with 1st dose","","8332950"
"22","Above 45 Vaccinated with 2nd dose on the day","","3164"
"23","Total Above 45 Vaccinated with 2nd dose","","7548788"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1955"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12612448"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","7547"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10449383"
"28","15-17 years age group Vaccinated with 1st dose on the day","","781"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1096986"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1983"
"31","Total 15-17 years age group Vaccinated with 2nddose","","807198"
"32","12-14 years age group Vaccinated with 1st dose on the day","","2154"
"33","Total 12-14 years age group Vaccinated with 1st dose","","622893"
"34","12-14 years age group Vaccinated with 2nddose on the day","","3620"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","398650"
"36","Precautionary dose given on the day","","19680"
"37","Total Precautionary dose given","","836581"
"38","Total Vaccination 1st dose on the day","","2757"
"39","Total Vaccination 2nd dose on the day","","10806"
"40","Total Vaccination 1st and 2nd dose on the day","","13563"
