"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23127","","5284","","28411",""
"2","Total Active Cases","77 
(0.33%)","","01 
(0.02%)","","78 
(0.27%)",""
"3","Total Cured/Discharged","22882 
(98.9%)","","5223 
(98.8%)","","28105 
(98.9%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.80%)",""
"5","Total Positive cases admitted in COVID 
Hospital","09","","00","","09",""
"6","Total Positive cases in Home Isolation","63","","01","","64",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","05","","00","","05",""
"9","No. of Samples Tested (Today)","441","","49","","490",""
"10","No. of Samples Positive (Today)","22","","00","","22",""
"11","No. of Samples Negative (Today)","418","","49","","467",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","72 
33 
16 
01 
122"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(28/06/2022)","","Test Done Today 
(29/06/2022)","","Cumulative"
"","","a)RTPCR","326908","","429","","327337"
"","","b)TRUENAT","14349","","07","","14356"
"","","c)RAT","350557","","54","","350611"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","692919","","490","","693409"
