"Total No. of Sample Taken Today","10583"
"Total No. of Positive Cases Detected Today","154"
"Total Active COVID-19 Patients","1082"
"Total No. of Active Cases under Home Isolation (29-05-2022)","1063"
"Total No. of Samples found Positive till date","1002406"
"Total Positive COVID-19 Patients Recovered / Discharged till date","990680"
"No. of Deaths","10621"
"Total No. of People Vaccinated Today","5923 
(1st Dose: 655 
2nd Dose: 1925 
Precaution Dose: 3343"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23528981(100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 86% for 15yrs above population)","19232742 (86%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","674789"
"Cumulative Coverage of Total COVID-19 Vaccination","43436512"
"COVID-19 Today (29-05-2022) Positivity Rate","1.25%"
"Recovery Rate","98.83%"
"Fatality Rate","1.06%"
