"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative
Positive","Today's
Death","Cumulative
Death","Today's
Recovered/ 
Discharged","Cumulative
Recovered/ 
Discharged","Active 
Case"
"1","AJMER","799737","15","50185","0","449","8","49636","100"
"2","ALWAR","1633661","7","85060","0","321","10","84650","89"
"3","BANSWARA","323396","0","14790","0","106","0","14678","6"
"4","BARAN","243580","1","15321","0","64","0","15253","4"
"5","BARMER","407268","2","21493","0","205","2","21278","10"
"6","BHARATPUR","476476","0","31457","0","274","0","31181","2"
"7","BHILWARA","511124","18","38383","0","162","4","38156","65"
"8","BIKANER","767127","10","50676","0","592","33","49956","128"
"9","BUNDI","237103","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","455523","8","29489","0","140","0","29306","43"
"11","CHURU","438503","4","20973","0","115","0","20838","20"
"12","DAUSA","299568","10","15939","0","82","3","15821","36"
"13","DHOLPUR","290601","0","13967","0","49","0","13917","1"
"14","DUNGARPUR","328445","2","25533","0","134","3","25382","17"
"15","GANGANAGAR","423578","0","28190","0","158","0","28031","1"
"16","HANUMANGARH","489696","0","22546","0","115","1","22424","7"
"17","JAIPUR","3495770","52","278283","0","2114","54","275800","369"
"18","JAISALMER","243304","9","17058","0","68","0","16968","22"
"19","JALORE","450411","3","10614","0","78","0","10503","33"
"20","JHALAWAR","419370","2","17790","0","207","4","17569","14"
"21","JHUNJHUNU","494662","0","19161","0","181","0","18980","0"
"22","JODHPUR","1441158","55","142183","0","1164","51","140669","350"
"23","KARAULI","244349","0","8970","0","85","0","8884","1"
"24","KOTA","1140011","4","70150","0","477","0","69660","13"
"25","NAGAUR","654289","5","23827","0","201","7","23584","42"
"26","PALI","462753","0","35856","0","299","0","35557","0"
"27","PRATAPGARH","278640","5","11910","0","65","0","11817","28"
"28","RAJSAMAND","302809","10","23131","0","178","0","22895","58"
