"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","290","8","0","0","38"
"2","ALWAR","891","2","0","1","19"
"3","BANSWARA","75","0","0","0","0"
"4","BARAN","183","0","0","0","3"
"5","BARMER","49","0","0","0","0"
"6","BHARATPUR","7","0","0","1","2"
"7","BHILWARA","144","0","0","0","2"
"8","BIKANER","420","2","0","0","8"
"9","BUNDI","88","1","0","0","2"
"10","CHITTORGARH","111","3","0","0","11"
"11","CHURU","109","0","0","0","0"
"12","DAUSA","413","0","0","0","2"
"13","DHOLPUR","78","0","0","0","0"
"14","DUNGARPUR","113","1","0","0","12"
"15","GANGANAGAR","56","0","0","1","1"
"16","HANUMANGARH","159","0","0","0","0"
"17","JAIPUR","1123","7","0","3","58"
"18","JAISALMER","31","0","0","0","0"
"19","JALORE","76","0","0","0","4"
"20","JHALAWAR","280","0","0","0","1"
"21","JHUNJHUNU","316","0","0","0","0"
"22","JODHPUR","205","4","0","3","25"
"23","KARAULI","135","0","0","0","0"
"24","KOTA","719","7","0","4","44"
"25","NAGAUR","277","0","0","0","0"
"26","PALI","256","2","0","0","14"
