"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22959","","5278","","28237",""
"2","Total Active Cases","10 
(0.04%)","","02 
(0.04%)","","12 
(0.04%)",""
"3","Total Cured/Discharged","22781 
(99.2%)","","5216 
(98.8%)","","27997 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","04","","0","","04",""
"6","Total Positive cases in Home Isolation","06","","02","","08",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","169","","22","","191",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","168","","22","","190",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","54 
00 
00 
05 
59"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(11/04/2022)","","Test Done Today 
(12/04/2022)","","Cumulative"
"","","a)RTPCR","317909","","147","","318056"
"","","b)TRUENAT","13248","","26","","13274"
"","","c)RAT","347885","","15","","347900"
"","","d)  CBNAAT","1073","","03","","1076"
"","","TOTAL","680115","","191","","680306"
