"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative
Positive","Today's
Death","Cumulative
Death","Today's
Recovered/ 
Discharged","Cumulative
Recovered/ 
Discharged","Active 
Case"
"1","AJMER","798758","19","50145","1","449","2","49605","91"
"2","ALWAR","1632386","13","85017","0","321","8","84624","72"
"3","BANSWARA","323115","3","14788","0","106","0","14678","4"
"4","BARAN","243164","0","15320","0","64","2","15253","3"
"5","BARMER","406799","0","21485","0","205","2","21276","4"
"6","BHARATPUR","476459","1","31456","0","273","0","31181","2"
"7","BHILWARA","510793","5","38345","0","162","6","38130","53"
"8","BIKANER","765219","25","50622","1","592","38","49872","158"
"9","BUNDI","237027","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","455308","7","29471","0","140","0","29296","35"
"11","CHURU","438283","1","20961","0","115","0","20836","10"
"12","DAUSA","298993","5","15914","0","82","0","15818","14"
"13","DHOLPUR","290351","0","13967","0","49","0","13917","1"
"14","DUNGARPUR","328337","0","25520","0","134","1","25373","13"
"15","GANGANAGAR","423554","0","28190","0","158","0","28031","1"
"16","HANUMANGARH","489622","2","22546","0","115","0","22423","8"
"17","JAIPUR","3491688","45","278146","0","2114","69","275662","370"
"18","JAISALMER","243190","0","17038","0","68","0","16968","2"
"19","JALORE","449934","20","10610","0","78","0","10496","36"
"20","JHALAWAR","418507","0","17784","0","207","0","17561","16"
"21","JHUNJHUNU","494576","0","19161","0","181","0","18980","0"
"22","JODHPUR","1439543","63","141990","0","1164","38","140514","312"
"23","KARAULI","244043","0","8969","0","85","0","8884","0"
"24","KOTA","1138787","3","70141","0","477","3","69660","4"
"25","NAGAUR","653721","8","23806","0","201","0","23570","35"
"26","PALI","462707","0","35856","0","299","0","35557","0"
"27","PRATAPGARH","278556","3","11896","0","65","0","11817","14"
"28","RAJSAMAND","302665","4","23092","0","178","0","22893","21"
