"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","706407","657","42935","2","415","382","39452","3068"
"2","ALWAR","1396876","1371","71809","0","312","1027","63853","7644"
"3","BANSWARA","274540","115","11045","0","104","71","10201","740"
"4","BARAN","194855","140","12915","0","62","97","12175","678"
"5","BARMER","369975","298","19275","1","190","268","16512","2573"
"6","BHARATPUR","427930","898","25881","1","261","572","21707","3913"
"7","BHILWARA","451737","396","33048","0","156","239","30736","2156"
"8","BIKANER","657201","386","46167","2","554","605","42927","2686"
"9","BUNDI","202086","81","8486","0","48","36","8109","329"
"10","CHITTORGARH","411492","682","24108","0","139","339","21585","2384"
"11","CHURU","374441","243","18375","0","108","122","17097","1170"
"12","DAUSA","244376","77","14673","1","66","94","13777","830"
"13","DHOLPUR","249786","89","11974","0","48","61","11107","819"
"14","DUNGARPUR","297345","439","20462","0","131","115","18946","1385"
"15","GANGANAGAR","373994","200","21377","0","151","20","19582","1644"
"16","HANUMANGARH","445114","311","18747","0","111","0","16434","2202"
"17","JAIPUR","2897445","4035","231429","3","1998","2783","208092","21339"
"18","JAISALMER","226266","94","15034","0","67","130","14233","734"
"19","JALORE","412758","59","10207","0","73","0","9997","137"
"20","JHALAWAR","331805","202","14979","0","191","76","14066","722"
"21","JHUNJHUNU","433074","185","16008","0","162","66","14943","903"
"22","JODHPUR","1266662","2222","125999","0","1111","857","118139","6749"
"23","KARAULI","205285","123","7647","0","72","19","7117","458"
