"S. No","Subject","Number"
"1","Total Number of people vaccinated on 2nd Feb","5,31,977"
"2","First Dose on 2nd Feb","49,505"
"3","Second Dose on 2nd Feb","4,26,842"
"4","Precaution Dose on 2nd Feb","55,630"
"5","Cumulative Vaccination till 2nd Feb","12,12,53,596"
"6","Cumulative Vaccination First Dose","6,90,90,513"
"7","Cumulative Vaccination Second Dose","5,11,82,024"
"8","Cumulative Precaution Dose","9,81,059"
"9","Number of CVC (Common Vaccination Centres)","5,558"
"10","Cumulative AEFI cases reported","6,763"
"11","Vaccine wastage","-7%"
