"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,945"
"2","Number of persons tested positive today in Tamil Nadu","445"
"3","Total Number of persons tested positive till date","35,71,924"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","17,834/ 
6,90,37,021@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","17,681/ 
6,78,22,369"
"6","No. of Male / Female / Transgender tested positive today","261/184/0"
"7","No. of Male / Female / Transgender tested positive till date","20,83,069/14,88,817/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","459/ 
35,28,941"
"10","Total number of deaths today/ till date","1 (0 Private & 
1 Govt) /38,038"
