"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","17,717"
"2","Number of persons tested positive today in Tamil Nadu","2,743"
"3","Total Number of persons tested positive till date","34,90,834"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","31,096/ 
6,73,35,017@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","30,499/ 
6,61,51,649"
"6","No. of Male / Female / Transgender tested positive today","1,537/1,206/0"
"7","No. of Male / Female / Transgender tested positive till date","20,35,845/14,54,951/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,791/ 
34,35,090"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,027"
