"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","633623","2","37832","0","410","1","37401","21"
"2","ALWAR","1260297","1","59720","0","307","1","59402","11"
"3","BANSWARA","234505","0","10005","0","104","0","9901","0"
"4","BARAN","164308","0","11997","0","61","0","11936","0"
"5","BARMER","333444","0","15575","0","185","0","15384","6"
"6","BHARATPUR","385243","0","19601","0","260","0","19341","0"
"7","BHILWARA","397573","0","29783","0","156","0","29626","1"
"8","BIKANER","600411","0","40381","0","545","1","39804","32"
"9","BUNDI","177801","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","364014","0","19809","0","139","0","19670","0"
"11","CHURU","321084","0","16721","0","107","1","16614","0"
"12","DAUSA","212801","0","13354","0","62","0","13289","3"
"13","DHOLPUR","226879","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","252671","1","18410","0","131","0","18276","3"
"15","GANGANAGAR","337456","0","19356","0","150","0","19205","1"
"16","HANUMANGARH","383079","1","16055","0","111","0","15942","2"
"17","JAIPUR","2562672","7","188040","0","1971","3","185965","104"
"18","JAISALMER","207734","1","13645","0","66","0","13575","4"
"19","JALORE","377539","0","10067","0","72","0","9995","0"
"20","JHALAWAR","287507","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","377821","0","14812","0","158","0","14653","1"
"22","JODHPUR","1164821","2","112424","0","1103","1","111314","7"
"23","KARAULI","172555","0","7156","0","70","0","7086","0"
