"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 19.10.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","91","",""
"","","2","Total Discharges","4023924","",""
"","","3","Today's Tests Conducted","9794","",""
"","","4","Total Tests Conducted","69344226","",""
"","","5","Today’s New Cases Reported (18.10.2022, 00:00 to 23:59)","157","",""
"","","6","Total Active Cases","3087","",""
"","","7","Today's Deaths Reported","1","",""
"","","8","Total Covid Deaths","40253","",""
"","","9","Total Positive Cases","4067306","",""
"","","10","Positivity Rate for the day (18.10.2022, 00:00 to 23:59)","1.52%","",""
"","","11","*Weekly Total Positivity Rate","2.22%","",""
"","","12","Case Fatality Rate (CFR) for the day (18.10.2022, 00:00 to 23:59)","0.63%","",""
"","","13","*Weekly Case Fatality Rate","0.66%","",""
"*From 13-10-2022 to 19-10-2022 
Particulars 
Today’s 
Cumulative 
5078* 
1665292 
A 
Total Passengers screened at Air ports 
          *Date: 18-10-2022 
 
Date: 19-10 -2022 
Page 1 of 7","","","","","",""
