"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","6,677"
"2","Number of persons tested positive today in Tamil Nadu","1,382"
"3","Total Number of persons tested positive till date","34,66,872"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","24,981/ 
6,70,18,243@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","24,775/ 
6,58,39,181"
"6","No. of Male / Female / Transgender tested positive today","759/623/0"
"7","No. of Male / Female / Transgender tested positive till date","20,22,678/14,44,156/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","617/ 
34,22,169"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,026"
