"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","20974","","4374","","25348",""
"2","Total Active Cases","953 
(4.5%)","","297 
(6.8%)","","1250 
(4.9%)",""
"3","Total Cured/ Discharged","19857 
(94.7%)","","4018                                  
(91.9%)","","(94.2%)",""
"4","Total Died","164 
(0.78%)","","59 
(1.3%)","","223 
(0.88%)",""
"5","Total Positive cases admitted in COVID 
Hospital","25","","8","","33",""
"6","Total Positive cases in Home Isolation","793","","289","","1082",""
"7","COVID Care Centre","99","","0","","99",""
"8","Facility Isolation","36","","0","","36",""
"9","No. of Samples Tested (Today)","472","","323","","795",""
"10","No. of Samples Positive (Today)","87","","46","","133",""
"11","No. of Samples Negative (Today)","383","","277","","660",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","516 
          00 
      00 
           75 
          591"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(26/01/2022)","","Test Done Today 
(27/01/2022)","","Cumulative"
"","","a)  RTPCR","273311","","542","","273853"
"","","b)  TRUENAT","11558","","19","","11577"
"","","c)  RAT","342776","","234","","343010"
"","","d)  CBNAAT","288","","00","","288"
"","","TOTAL","627933","","795","","628728"
