"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","3,950"
"2","Number of persons tested positive today in Tamil Nadu","289"
"","Passengers returned from other states  by Road tested 
positive today","Andhra Pradesh – 1 
Jharkhand – 1 
Kerala - 1"
"","Total","292"
"3","Total Number of persons tested positive till date","34,50,333"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","53,194/ 
6,45,57,853@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","52,935/ 
6,33,83,390"
"6","No. of Male / Female / Transgender tested positive today","163/129/0"
"7","No. of Male / Female / Transgender tested positive till date","20,13,826/14,36,469/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","333 (69 Govt+ 
264 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","778/ 
34,08,373"
"10","Total number of deaths today/ till date","1(0 Private &  
1 Govt) /38,010"
