"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","6,631"
"2","Number of persons tested positive today in Tamil Nadu","648"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Telangana-1"
"","Total","649"
"3","Total Number of persons tested positive till date","35,60,810"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","20,248/ 
6,85,93,666@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","19,946/ 
6,73,83,279"
"6","No. of Male / Female / Transgender tested positive today","384/265/0"
"7","No. of Male / Female / Transgender tested positive till date","20,76,441/14,84,331/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","906/ 
35,16,146"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,033"
