"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","116","109893","106","107595","1","2280","18"
"2","SAS Nagar","204","95895","147","94680","0","1148","67"
"3","Jalandhar","90","78362","71","76771","0","1578","13"
"4","Patiala","194","62226","178","60750","0","1458","18"
"5","Amritsar","48","59443","35","57743","0","1682","18"
"6","Bathinda","29","50899","28","49806","0","1088","5"
"7","Hoshiarpur","47","40885","57","39789","0","1096","0"
"8","Gurdaspur","13","26952","11","26084","1","865","3"
"9","Pathankot","32","24566","35","24068","0","495","3"
"10","Fazilka","15","23413","25","22864","0","545","4"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","25","22058","19","21471","1","583","4"
"13","Ropar","10","17948","9","17492","0","455","1"
"14","Ferozepur","9","17908","9","17369","0","537","2"
"15","Mansa","4","17232","3","16839","0","392","1"
"16","Faridkot","20","16803","23","16464","0","338","1"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","19","13421","20","13008","0","409","4"
"19","FG Sahib","7","11841","7","11487","0","354","0"
"20","Moga","2","10990","3","10734","1","255","1"
"21","Tarn Taran","2","10901","2","10507","0","394","0"
"22","Barnala","7","7505","12","7155","0","349","1"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","899","759976","811","742061","4","17751","164"
