"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","390081","19378942"
"2","Total No. of patients tested Positive","899","759976"
"3","No. of patients discharged","811","742061"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","13061"
"6","Test conducted on the day","","12749"
"7","Positive cases on the day","","22"
"8","Number of active Cases","","164"
"9","No. of Patients on oxygen support","","1"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218578"
"14","Frontline Workers vaccinated with 1st dose on the day","","8"
"15","Total Frontline Workers vaccinated with 1st dose","","1117129"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","32"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209726"
"18","Frontline Workers vaccinated with 2nd dose on the day","","98"
"19","Total Frontline Workers vaccinated with 2nd dose","","1010833"
"20","Above 45 Vaccinated with 1st dose on the day","","6693"
"21","Total Above 45 Vaccinated with 1st dose","","8292677"
"22","Above 45 Vaccinated with 2nd dose on the day","","13484"
"23","Total Above 45 Vaccinated with 2nd dose","","7082431"
"24","18-44 years age group Vaccinated with 1st dose on the day","","15160"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12495027"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","25620"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9504773"
"28","15-17 years age group Vaccinated with 1st dose on the day","","1664"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1047882"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","4860"
"31","Total 15-17 years age group Vaccinated with 2nddose","","638022"
"32","12-14 years age group Vaccinated with 1st dose on the day","","4254"
"33","Total 12-14 years age group Vaccinated with 1st dose","","501278"
"34","12-14 years age group Vaccinated with 2nddose on the day","","6027"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","174830"
"36","Precautionary dose given on the day","","3121"
"37","Total Precautionary dose given","","577364"
"38","Total Vaccination 1st dose on the day","","21863"
"39","Total Vaccination 2nd dose on the day","","39234"
"40","Total Vaccination 1st and 2nd dose on the day","","61097"
