"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","10,271"
"2","Number of persons tested positive today in Tamil Nadu","835"
"3","Total Number of persons tested positive till date","27,10,756"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,02,380/ 
5,21,35,829@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,02,072/ 
5,12,09,411"
"6","No. of Male / Female / Transgender tested positive today","496/339/0"
"7","No. of Male / Female / Transgender tested positive till date","15,82,135/11,28,583/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","308 (69 Govt+ 
239 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","924/ 
26,64,247"
"10","Total number of deaths today/ till date","12(4 Private &  
8 Govt) /36,238)"
