"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 08.08.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","1662","",""
"","","2","Total Discharges","3969691","",""
"","","3","Today's Tests Conducted","16502","",""
"","","4","Total Tests Conducted","68040937","",""
"","","5","Today’s New Cases Reported (07.08.2022, 00:00 to 23:59)","1019","",""
"","","6","Total Active Cases","11252","",""
"","","7","Today's Deaths Reported","3","",""
"","","8","Total Covid Deaths","40121","",""
"","","9","Total Positive Cases","4021106","",""
"","","10","Positivity Rate for the day (07.08.2022, 00:00 to 23:59)","6.17%","",""
"","","11","*Weekly Total Positivity Rate","6.36%","",""
"","","12","Case Fatality Rate (CFR) for the day (07.08.2022, 00:00 to 23:59)","0.29%","",""
"","","13","*Weekly Case Fatality Rate","0.12%","",""
"*From  02-08-2022 to  08-08-2022 
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports 
5254* 
1339406 
          *Date: 07-08-2022 
 
Date: 08-08-2022 
Page 1 of 10","","","","","",""
