"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,745"
"2","Number of persons tested positive today in Tamil Nadu","366"
"3","Total Number of persons tested positive till date","34,49,373"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","55,994/ 
6,43,98,334@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","55,656/ 
6,32,24,787"
"6","No. of Male / Female / Transgender tested positive today","209/157/0"
"7","No. of Male / Female / Transgender tested positive till date","20,13,276/14,36,059/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","333 (69 Govt+ 
264 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,013/ 
34,05,624"
"10","Total number of deaths today/ till date","1(0 Private &  
1 Govt) /38,004"
