"S.No","District","Positives
Last 24 Hrs","Total
Positives","Total
Active Cases","Total
Recovered","Total
Deceased"
"1","Anantapur","11","177493","155","176233","1105"
"2","Chittoor","2","272367","18","270349","2000"
"3","East Godavari","7","316511","159","315054","1298"
"4","Guntur","3","203230","35","201918","1277"
"5","YSR Kadapa","0","134882","7","134223","652"
"6","Krishna","0","136883","25","135362","1496"
"7","Kurnool","0","144243","2","143374","867"
"8","Nellore","3","164357","12","163255","1090"
"9","Prakasam","3","155924","9","154769","1146"
"10","Srikakulam","1","133936","5","133133","798"
"11","Visakhapatnam","3","190899","39","189676","1184"
"12","Vizianagaram","0","92237","12","91545","680"
"13","West Godavari","7","193324","40","192147","1137"
"","Total AP Cases","40","2316286","518","2301038","14730"
"14","Other States","0","2461","0","2461","0"
"15","Other Countries","0","434","0","434","0"
"","Total","40","2319181","518","2303933","14730"
